Suburb;Address;Rooms;Type;Price;Distance;Postcode;Bedroom2;Bathroom;Car;Landsize;Regionname
Abbotsford;85 Turner St;2;h;1480000.0;2.5;3067.0;2.0;1.0;1.0;202.0;Northern Metropolitan
Abbotsford;25 Bloomburg St;2;h;1035000.0;2.5;3067.0;2.0;1.0;0.0;156.0;Northern Metropolitan
Abbotsford;5 Charles St;3;h;1465000.0;2.5;3067.0;3.0;2.0;0.0;134.0;Northern Metropolitan
Abbotsford;40 Federation La;3;h;850000.0;2.5;3067.0;3.0;2.0;1.0;94.0;Northern Metropolitan
Abbotsford;55a Park St;4;h;1600000.0;2.5;3067.0;3.0;1.0;2.0;120.0;Northern Metropolitan
Abbotsford;129 Charles St;2;h;941000.0;2.5;3067.0;2.0;1.0;0.0;181.0;Northern Metropolitan
Abbotsford;124 Yarra St;3;h;1876000.0;2.5;3067.0;4.0;2.0;0.0;245.0;Northern Metropolitan
Abbotsford;98 Charles St;2;h;1636000.0;2.5;3067.0;2.0;1.0;2.0;256.0;Northern Metropolitan
Abbotsford;6/241 Nicholson St;1;u;300000.0;2.5;3067.0;1.0;1.0;1.0;0.0;Northern Metropolitan
Abbotsford;10 Valiant St;2;h;1097000.0;2.5;3067.0;3.0;1.0;2.0;220.0;Northern Metropolitan
Abbotsford;411/8 Grosvenor St;2;u;700000.0;2.5;3067.0;2.0;2.0;1.0;0.0;Northern Metropolitan
Abbotsford;40 Nicholson St;3;h;1350000.0;2.5;3067.0;3.0;2.0;2.0;214.0;Northern Metropolitan
Abbotsford;123/56 Nicholson St;2;u;750000.0;2.5;3067.0;2.0;2.0;1.0;0.0;Northern Metropolitan
Abbotsford;45 William St;2;h;1172500.0;2.5;3067.0;2.0;1.0;1.0;195.0;Northern Metropolitan
Abbotsford;7/20 Abbotsford St;1;u;441000.0;2.5;3067.0;1.0;1.0;1.0;0.0;Northern Metropolitan
Abbotsford;16 William St;2;h;1310000.0;2.5;3067.0;2.0;1.0;2.0;238.0;Northern Metropolitan
Abbotsford;42 Henry St;3;h;1200000.0;2.5;3067.0;3.0;2.0;1.0;113.0;Northern Metropolitan
Abbotsford;78 Yarra St;3;h;1176500.0;2.5;3067.0;2.0;1.0;1.0;138.0;Northern Metropolitan
Abbotsford;196 Nicholson St;3;h;955000.0;2.5;3067.0;3.0;1.0;0.0;183.0;Northern Metropolitan
Abbotsford;42 Valiant St;2;h;890000.0;2.5;3067.0;2.0;1.0;1.0;150.0;Northern Metropolitan
Abbotsford;3/72 Charles St;4;h;1330000.0;2.5;3067.0;4.0;2.0;2.0;780.0;Northern Metropolitan
Abbotsford;13/11 Nicholson St;3;t;900000.0;2.5;3067.0;3.0;2.0;2.0;0.0;Northern Metropolitan
Abbotsford;138/56 Nicholson St;3;u;1090000.0;2.5;3067.0;3.0;2.0;2.0;4290.0;Northern Metropolitan
Abbotsford;6/219 Nicholson St;2;u;500000.0;2.5;3067.0;2.0;1.0;1.0;0.0;Northern Metropolitan
Abbotsford;52a William St;2;h;1100000.0;2.5;3067.0;2.0;2.0;1.0;124.0;Northern Metropolitan
Abbotsford;49 Park St;2;h;1315000.0;2.5;3067.0;2.0;1.0;0.0;147.0;Northern Metropolitan
